level,time_ms,rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,threads,num_games,num_wins,win_rate,lower_bound,upper_bound
1,100,normal,no heuristic,full expand,no heuristic,0.004,8,169,169,1.0,0.98,1.0
1,200,normal,no heuristic,full expand,no heuristic,0.004,8,169,169,1.0,0.98,1.0
1,300,normal,no heuristic,full expand,no heuristic,0.004,8,168,168,1.0,0.98,1.0
1,400,normal,no heuristic,full expand,no heuristic,0.004,8,168,168,1.0,0.98,1.0
1,800,normal,no heuristic,full expand,no heuristic,0.004,8,168,168,1.0,0.98,1.0
1,1600,normal,no heuristic,full expand,no heuristic,0.004,8,168,168,1.0,0.98,1.0
2,100,normal,no heuristic,full expand,no heuristic,0.004,8,1128,1128,1.0,1.0,1.0
2,200,normal,no heuristic,full expand,no heuristic,0.004,8,1128,1128,1.0,1.0,1.0
2,300,normal,no heuristic,full expand,no heuristic,0.004,8,1128,1128,1.0,1.0,1.0
2,400,normal,no heuristic,full expand,no heuristic,0.004,8,1128,1128,1.0,1.0,1.0
2,800,normal,no heuristic,full expand,no heuristic,0.004,8,1128,1128,1.0,1.0,1.0
2,1600,normal,no heuristic,full expand,no heuristic,0.004,8,1127,1127,1.0,1.0,1.0
3,100,normal,no heuristic,full expand,no heuristic,0.004,8,874,873,0.9988558352402745,0.99,1.0
3,200,normal,no heuristic,full expand,no heuristic,0.004,8,874,871,0.9965675057208238,0.99,1.0
3,300,normal,no heuristic,full expand,no heuristic,0.004,8,874,872,0.9977116704805492,0.99,1.0
3,400,normal,no heuristic,full expand,no heuristic,0.004,8,873,871,0.997709049255441,0.99,1.0
3,800,normal,no heuristic,full expand,no heuristic,0.004,8,873,872,0.9988545246277205,0.99,1.0
3,1600,normal,no heuristic,full expand,no heuristic,0.004,8,873,871,0.997709049255441,0.99,1.0
6,100,normal,no heuristic,full expand,no heuristic,0.004,8,422,412,0.976303317535545,0.96,0.99
6,200,normal,no heuristic,full expand,no heuristic,0.004,8,422,417,0.9881516587677726,0.97,0.99
